split,scenario_id,source_file,scenario_type,node_id,signal_col,label_col,window_id,window_size,start_idx,end_idx,start_time_s,end_time_s,y_true,node_is_N2,node_is_N8,node_is_N9,local_t-23,local_t-22,local_t-21,local_t-20,local_t-19,local_t-18,local_t-17,local_t-16,local_t-15,local_t-14,local_t-13,local_t-12,local_t-11,local_t-10,local_t-9,local_t-8,local_t-7,local_t-6,local_t-5,local_t-4,local_t-3,local_t-2,local_t-1,local_t-0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_0_23,24,0,23,0,13800,0,1,0,0,19.5,19.5,19.5,19.5,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_1_24,24,1,24,600,14400,0,1,0,0,19.5,19.5,19.5,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_2_25,24,2,25,1200,15000,0,1,0,0,19.5,19.5,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_3_26,24,3,26,1800,15600,0,1,0,0,19.5,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_4_27,24,4,27,2400,16200,0,1,0,0,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_5_28,24,5,28,3000,16800,0,1,0,0,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_6_29,24,6,29,3600,17400,0,1,0,0,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_7_30,24,7,30,4200,18000,0,1,0,0,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_8_31,24,8,31,4800,18600,0,1,0,0,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_9_32,24,9,32,5400,19200,0,1,0,0,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527
